Country,Count_2024,Share_OB,,
Norfolk Island,620,0.007228298,,
New Zealand,"617,960",7.204514188,,
New Caledonia,"1,690",0.01970294,,
Papua New Guinea,"37,150",0.43311493,,
Solomon Islands,"8,190",0.09548348,,
Vanuatu,"9,020",0.105160072,,
Guam,140,0.001632196,,
Kiribati,"2,210",0.025765383,,
Marshall Islands,50,0.000582927,,
Micronesia (Federated States of),20,0.000233171,,
Nauru,910,0.010609276,,
Northern Mariana Islands,30,0.000349756,,
Palau,30,0.000349756,,
Cook Islands,"7,930",0.092452258,,
Fiji,"92,550",1.078998298,,
French Polynesia,540,0.006295614,,
Niue,"1,000",0.011658545,,
Samoa,"38,850",0.452934456,,
American Samoa,530,0.006179029,,
Tokelau,610,0.007111712,,
Tonga,"19,730",0.230023084,,
Tuvalu,470,0.005479516,,
Wallis and Futuna,10,0.000116585,,
Pitcairn Islands,10,0.000116585,,
Isle of Man,930,0.010842446,,
United Kindom,"1,145,590",13.35591205,,
Guernsey,860,0.010026348,,
Jersey,"1,490",0.017371231,,
Ireland,"103,080",1.201762772,,
Austria,"13,890",0.161937184,,
Belgium,"8,160",0.095133724,,
France,"46,040",0.536759391,,
Germany,"102,960",1.200363747,,
Liechtenstein,10,0.000116585,,
Luxembourg,330,0.00384732,,
Monaco,110,0.00128244,,
Netherlands,"65,440",0.762935155,,
Switzerland,"13,630",0.158905962,,
Denmark,"9,360",0.109123977,,
Faroe Islands,20,0.000233171,,
Finland,"8,050",0.093851284,,
Greenland,30,0.000349756,,
Iceland,420,0.004896589,,
Norway,"4,250",0.049548814,,
Sweden,"11,930",0.139086436,,
Åland Islands,10,0.000116585,,
Andorra,30,0.000349756,,
Gibraltar,460,0.00536293,,
Holy See,0,0,,
Italy,"156,070",1.819549047,,
Malta,"35,130",0.40956467,,
Portugal,"18,190",0.212068925,,
San Marino,10,0.000116585,,
Spain,"21,100",0.24599529,,
Albania,"4,170",0.048616131,,
Bosnia and Herzegovina,"30,350",0.353836827,,
Bulgaria,"3,930",0.04581808,,
Croatia,"48,650",0.567188192,,
Cyprus,"16,970",0.197845501,,
North Macedonia,"49,410",0.576048686,,
Greece,"90,100",1.050434864,,
Moldova,"1,530",0.017837573,,
Romania,"16,160",0.18840208,,
Slovenia,"5,510",0.06423858,,
Montenegro,"1,720",0.020052697,,
Serbia,"29,390",0.342644624,,
Kosovo,"1,800",0.02098538,,
Belarus,"2,610",0.030428801,,
Czechia,"10,840",0.126378623,,
Estonia,"3,960",0.046167836,,
Hungary,"16,750",0.195280621,,
Latvia,"3,380",0.039405881,,
Lithuania,"3,280",0.038240026,,
Poland,"47,680",0.555879404,,
Russia,"31,620",0.368643179,,
Slovakia,"6,860",0.079977616,,
Ukraine,"21,360",0.249026512,,
Algeria,"1,740",0.020285868,,
Egypt,"48,480",0.56520624,,
Libya,"2,810",0.03276051,,
Morocco,"2,930",0.034159536,,
Sudan,"18,860",0.21988015,,
Tunisia,840,0.009793177,,
Western Sahara,10,0.000116585,,
Sp North Africa,0,0,,
South Sudan,"9,090",0.10597617,,
Bahrain,"2,520",0.029379532,,
Palestine (a.k.a. State of Palestine),"3,120",0.036374659,,
Iran,"91,580",1.06768951,,
Iraq,"109,600",1.277776482,,
Israel,"12,620",0.147130832,,
Jordan,"9,640",0.112388369,,
Kuwait,"8,720",0.101662508,,
Lebanon,"97,500",1.136708093,,
Oman,"2,250",0.026231725,,
Qatar,"3,040",0.035441975,,
Saudi Arabia,"16,440",0.191666472,,
Syria,"36,610",0.426819316,,
Türkiye,"46,150",0.538041831,,
Unit Arab Emir,"18,250",0.212768438,,
Yemen,"1,390",0.016205377,,
Myanmar,"46,790",0.545503299,,
Cambodia,"45,880",0.534894024,,
Laos,"12,610",0.147014247,,
Thailand,"114,280",1.332338471,,
Vietnam,"318,760",3.71627766,,
Brunei,"3,560",0.041504419,,
Indonesia,"120,160",1.400890713,,
Malaysia,"183,490",2.139226339,,
Philippines,"394,380",4.597896799,,
Singapore,"70,700",0.824259099,,
Timor-Leste,"14,060",0.163919136,,
China,"700,120",8.162380208,,
Hong Kong,"124,550",1.452071723,,
Macau,"3,250",0.03789027,,
Mongolia,"15,290",0.178259146,,
Taiwan,"68,400",0.797444447,,
Japan,"59,710",0.696131695,,
North Korea,50,0.000582927,,
South Korea,"119,190",1.389581925,,
Bangladesh,"73,660",0.858768391,,
Bhutan,"37,530",0.437545177,,
India,"916,330",10.68307413,,
Maldives,800,0.009326836,,
Nepal,"197,800",2.306060111,,
Pakistan,"134,720",1.570639121,,
Sri Lanka,"172,800",2.014596498,,
Afghanistan,"88,730",1.034462658,,
Armenia,"1,510",0.017604402,,
Azerbaijan,850,0.009909763,,
Georgia,920,0.010725861,,
Kazakhstan,"2,910",0.033926365,,
Kyrgyzstan,770,0.008977079,,
Tajikistan,250,0.002914636,,
Turkmenistan,170,0.001981953,,
Uzbekistan,"2,670",0.031128314,,
Bermuda,620,0.007228298,,
Canada,"59,650",0.695432182,,
Saint Pierre and Miquelon,0,0,,
United States of America,"118,000",1.375708257,,
Argentina,"29,690",0.346142188,,
Bolivia,"1,310",0.015272693,,
Brazil,"72,920",0.850141068,,
Chile,"39,900",0.465175927,,
Colombia,"70,010",0.816214704,,
Ecuador,"5,380",0.06272297,,
Falkland Islands,90,0.001049269,,
French Guiana,30,0.000349756,,
Guyana,580,0.006761956,,
Paraguay,710,0.008277567,,
Peru,"16,470",0.192016229,,
Suriname,160,0.001865367,,
Uruguay,"10,380",0.121015692,,
Venezuela,"8,480",0.098864458,,
Belize,80,0.000932684,,
Costa Rica,700,0.008160981,,
El Salvador,"11,220",0.13080887,,
Guatemala,880,0.010259519,,
Honduras,540,0.006295614,,
Mexico,"9,980",0.116352275,,
Nicaragua,900,0.01049269,,
Panama,370,0.004313661,,
Anguilla,0,0,,
Antigua/Barbuda,60,0.000699513,,
Aruba,80,0.000932684,,
Bahamas,310,0.003614149,,
Barbados,430,0.005013174,,
Cayman Islands,200,0.002331709,,
Cuba,"1,050",0.012241472,,
Dominica,40,0.000466342,,
