Country,Count_2024,Share_OB,,"27,194,470"
Australia,"18,617,070",68.45902862,,
Norfolk Island,620,0.002279875,,
New Zealand,"617,960",2.272373758,,
New Caledonia,"1,690",0.006214499,,
Papua New Guinea,"37,150",0.136608656,,
Solomon Islands,"8,190",0.030116417,,
Vanuatu,"9,020",0.033168508,,
Guam,140,0.000514811,,
Kiribati,"2,210",0.008126652,,
Marshall Islands,50,0.000183861,,
Micronesia (Federated States of),20,7.35444E-05,,
Nauru,910,0.003346269,,
Northern Mariana Islands,30,0.000110317,,
Palau,30,0.000110317,,
Cook Islands,"7,930",0.02916034,,
Fiji,"92,550",0.340326544,,
French Polynesia,540,0.001985698,,
Niue,"1,000",0.003677218,,
Samoa,"38,850",0.142859927,,
American Samoa,530,0.001948926,,
Tokelau,610,0.002243103,,
Tonga,"19,730",0.072551515,,
Tuvalu,470,0.001728293,,
Wallis and Futuna,10,3.67722E-05,,
Pitcairn Islands,10,3.67722E-05,,
Isle of Man,930,0.003419813,,
United Kindom,"1,145,590",4.212584397,,
Guernsey,860,0.003162408,,
Jersey,"1,490",0.005479055,,
Ireland,"103,080",0.379047652,,
Austria,"13,890",0.051076561,,
Belgium,"8,160",0.030006101,,
France,"46,040",0.169299126,,
Germany,"102,960",0.378606386,,
Liechtenstein,10,3.67722E-05,,
Luxembourg,330,0.001213482,,
Monaco,110,0.000404494,,
Netherlands,"65,440",0.240637159,,
Switzerland,"13,630",0.050120484,,
Denmark,"9,360",0.034418762,,
Faroe Islands,20,7.35444E-05,,
Finland,"8,050",0.029601607,,
Greenland,30,0.000110317,,
Iceland,420,0.001544432,,
Norway,"4,250",0.015628177,,
Sweden,"11,930",0.043869213,,
Åland Islands,10,3.67722E-05,,
Andorra,30,0.000110317,,
Gibraltar,460,0.00169152,,
Holy See,0,0,,
Italy,"156,070",0.573903444,,
Malta,"35,130",0.129180675,,
Portugal,"18,190",0.066888599,,
San Marino,10,3.67722E-05,,
Spain,"21,100",0.077589304,,
Albania,"4,170",0.015334,,
Bosnia and Herzegovina,"30,350",0.111603572,,
Bulgaria,"3,930",0.014451468,,
Croatia,"48,650",0.178896665,,
Cyprus,"16,970",0.062402393,,
North Macedonia,"49,410",0.181691351,,
Greece,"90,100",0.33131736,,
Moldova,"1,530",0.005626144,,
Romania,"16,160",0.059423846,,
Slovenia,"5,510",0.020261472,,
Montenegro,"1,720",0.006324815,,
Serbia,"29,390",0.108073443,,
Kosovo,"1,800",0.006618993,,
Belarus,"2,610",0.009597539,,
Czechia,"10,840",0.039861045,,
Estonia,"3,960",0.014561784,,
Hungary,"16,750",0.061593405,,
Latvia,"3,380",0.012428998,,
Lithuania,"3,280",0.012061276,,
Poland,"47,680",0.175329764,,
Russia,"31,620",0.116273639,,
Slovakia,"6,860",0.025225717,,
Ukraine,"21,360",0.078545381,,
Algeria,"1,740",0.00639836,,
Egypt,"48,480",0.178271538,,
Libya,"2,810",0.010332983,,
Morocco,"2,930",0.010774249,,
Sudan,"18,860",0.069352335,,
Tunisia,840,0.003088863,,
Western Sahara,10,3.67722E-05,,
Sp North Africa,0,0,,
South Sudan,"9,090",0.033425913,,
Bahrain,"2,520",0.00926659,,
Palestine (a.k.a. State of Palestine),"3,120",0.011472921,,
Iran,"91,580",0.336759643,,
Iraq,"109,600",0.403023115,,
Israel,"12,620",0.046406494,,
Jordan,"9,640",0.035448383,,
Kuwait,"8,720",0.032065343,,
Lebanon,"97,500",0.358528774,,
Oman,"2,250",0.008273741,,
Qatar,"3,040",0.011178743,,
Saudi Arabia,"16,440",0.060453467,,
Syria,"36,610",0.134622958,,
Türkiye,"46,150",0.16970362,,
Unit Arab Emir,"18,250",0.067109232,,
Yemen,"1,390",0.005111333,,
Myanmar,"46,790",0.17205704,,
Cambodia,"45,880",0.168710771,,
Laos,"12,610",0.046369721,,
Thailand,"114,280",0.420232496,,
